iter	Passed	Remaining
0	2430	240600
1	4616	226217
2	7400	239281
3	9737	233690
4	12089	229693
5	13977	218973
6	16249	215887
7	18179	209064
8	20132	203557
9	22036	198324
10	23916	193503
11	26323	193036
12	28955	193779
13	33313	204638
14	35587	201663
15	37727	198071
16	39858	194603
17	41755	190218
18	43508	185485
19	47217	188871
20	49245	185255
21	52142	184870
22	54758	183320
23	60727	192304
24	64688	194065
25	67078	190916
26	72329	195558
27	77789	200030
28	82959	203106
29	85400	199266
30	87664	195124
31	89581	190361
32	91767	186316
33	93587	181669
34	95540	177432
35	97492	173320
36	99300	169079
37	101119	164985
38	103072	161215
39	106346	159519
40	108220	155731
41	110073	152005
42	112457	149071
43	114954	146305
44	116840	142805
45	119593	140392
46	121834	137387
47	124294	134652
48	126569	131735
49	129110	129110
50	131196	126051
51	133315	123060
52	135312	119994
53	137165	116844
54	138974	113706
55	140993	110780
56	143389	108170
57	145985	105713
58	148170	102966
59	149968	99978
60	152220	97321
61	154239	94534
62	156181	91725
63	158566	89193
64	160729	86546
65	162728	83829
66	164579	81061
67	166687	78441
68	168706	75795
69	170515	73077
70	172147	70313
71	173864	67614
72	176042	65111
73	177679	62428
74	179878	59959
75	181729	57388
76	183963	54950
77	186255	52533
78	188058	49990
79	189949	47487
80	191624	44949
81	193722	42524
82	195662	40075
83	197725	37662
84	199866	35270
85	201544	32809
86	203739	30443
87	205546	28029
