iter	Passed	Remaining
0	26	26658
1	70	34932
2	92	30809
3	129	32312
4	157	31415
5	170	28264
6	202	28796
7	241	29924
8	282	31157
9	322	31967
10	358	32198
11	386	31803
12	411	31254
13	448	31563
14	483	31738
15	510	31392
16	544	31496
17	586	31970
18	629	32483
19	672	32931
20	711	33147
21	755	33572
22	800	34001
23	849	34542
24	893	34865
25	934	34998
26	978	35271
27	1025	35612
28	1069	35807
29	1109	35858
30	1149	35936
31	1192	36086
32	1242	36411
33	1289	36626
34	1333	36757
35	1377	36874
36	1430	37219
37	1471	37241
38	1525	37581
39	1566	37585
40	1609	37640
41	1646	37546
42	1687	37557
43	1731	37611
44	1770	37583
45	1812	37597
46	1845	37428
47	1890	37500
48	1934	37540
49	1984	37703
50	2026	37713
51	2070	37743
52	2122	37925
53	2164	37913
54	2206	37907
55	2258	38070
56	2300	38060
57	2342	38049
58	2389	38111
59	2434	38135
60	2478	38150
61	2528	38250
62	2572	38263
63	2625	38391
64	2666	38363
65	2711	38378
66	2755	38377
67	2796	38323
68	2836	38278
69	2879	38251
70	2923	38248
71	2951	38036
72	2991	37982
73	3032	37942
74	3072	37890
75	3117	37902
76	3158	37856
77	3196	37786
78	3236	37732
79	3311	38083
80	3401	38588
81	3459	38728
82	3519	38883
83	3568	38912
84	3611	38875
85	3657	38872
86	3700	38835
87	3744	38802
88	3780	38697
89	3815	38576
90	3848	38445
91	3885	38343
92	3919	38222
93	3957	38144
94	3992	38031
95	4024	37901
96	4056	37766
97	4094	37688
98	4129	37585
99	4165	37489
100	4201	37393
101	4234	37276
102	4272	37205
103	4312	37150
104	4351	37090
105	4388	37009
106	4425	36930
107	4460	36838
108	4494	36742
109	4531	36661
110	4564	36558
111	4601	36482
112	4640	36422
113	4674	36327
114	4709	36242
115	4747	36182
116	4783	36100
117	4818	36017
118	4851	35915
119	4893	35882
120	4926	35788
121	4963	35723
122	5002	35670
123	5035	35572
124	5067	35469
125	5100	35382
126	5136	35307
127	5171	35230
128	5205	35150
129	5246	35109
130	5283	35048
131	5320	34983
132	5358	34933
133	5403	34923
134	5439	34852
135	5475	34784
136	5511	34717
137	5548	34656
138	5582	34579
139	5619	34518
140	5658	34473
141	5693	34401
142	5726	34320
143	5759	34236
144	5800	34203
145	5833	34124
146	5841	33896
147	5874	33819
148	5909	33748
149	5941	33665
150	5978	33611
151	6012	33543
152	6045	33468
153	6088	33449
154	6124	33386
155	6160	33327
156	6199	33286
157	6233	33219
158	6268	33157
159	6302	33088
160	6339	33038
161	6376	32984
162	6411	32924
163	6446	32862
164	6483	32812
165	6518	32748
166	6560	32724
167	6611	32740
168	6655	32724
169	6703	32729
170	6760	32772
171	6806	32766
172	6849	32744
173	6884	32679
174	6925	32650
175	6972	32644
176	7019	32638
177	7061	32610
178	7104	32586
179	7159	32615
180	7201	32587
181	7238	32531
182	7255	32393
183	7288	32322
184	7347	32368
185	7399	32384
186	7446	32372
187	7485	32329
188	7529	32308
189	7576	32297
190	7618	32267
191	7655	32214
192	7702	32206
193	7747	32187
194	7786	32144
195	7820	32079
196	7853	32013
197	7893	31973
198	7931	31923
199	7968	31873
200	8009	31838
201	8048	31794
202	8084	31738
203	8131	31727
204	8167	31675
205	8202	31616
206	8242	31575
207	8283	31540
208	8319	31487
209	8357	31441
210	8398	31403
211	8436	31358
212	8473	31309
213	8512	31264
214	8551	31224
215	8587	31169
216	8620	31105
217	8657	31055
218	8699	31024
219	8741	30992
220	8777	30939
221	8811	30879
222	8847	30827
223	8886	30784
224	8921	30730
225	8956	30672
226	8995	30632
227	9033	30586
228	9070	30538
229	9106	30485
230	9142	30434
231	9177	30382
232	9214	30333
233	9244	30260
234	9278	30206
235	9318	30167
236	9353	30113
237	9390	30063
238	9424	30008
239	9459	29954
240	9490	29890
241	9523	29828
242	9556	29772
243	9590	29714
244	9623	29657
245	9657	29600
246	9692	29546
247	9729	29503
248	9769	29466
249	9804	29412
250	9844	29377
251	9879	29324
252	9916	29278
253	9951	29228
254	9987	29178
255	10021	29123
256	10060	29086
257	10095	29034
258	10130	28982
259	10164	28928
260	10198	28875
261	10231	28820
262	10267	28772
263	10303	28723
264	10337	28671
265	10380	28644
266	10417	28599
267	10452	28548
268	10487	28498
269	10524	28454
270	10561	28411
271	10594	28355
272	10629	28306
273	10665	28258
274	10698	28205
275	10736	28164
276	10771	28115
277	10811	28079
278	10849	28036
279	10884	27987
280	10917	27935
281	10953	27888
282	10989	27843
283	11025	27795
284	11060	27749
285	11095	27698
286	11128	27647
287	11163	27597
288	11196	27546
289	11228	27489
290	11261	27437
291	11296	27390
292	11330	27340
293	11367	27296
294	11402	27250
295	11437	27203
296	11470	27150
297	11507	27107
298	11541	27059
299	11573	27005
300	11607	26955
301	11650	26927
302	11684	26877
303	11717	26827
304	11751	26779
305	11786	26732
306	11823	26689
307	11864	26657
308	11901	26615
309	11935	26565
310	11966	26511
311	12002	26466
312	12034	26415
313	12068	26365
314	12100	26314
315	12134	26266
316	12169	26220
317	12208	26182
318	12241	26133
319	12275	26085
320	12311	26042
321	12359	26023
322	12396	25982
323	12429	25932
324	12462	25883
325	12498	25840
326	12530	25788
327	12570	25753
328	12605	25709
329	12639	25662
330	12673	25614
331	12707	25567
332	12741	25521
333	12778	25480
334	12808	25425
335	12842	25378
336	12876	25332
337	12911	25287
338	12949	25250
339	12985	25207
340	13020	25162
341	13059	25126
342	13097	25086
343	13139	25057
344	13175	25013
345	13208	24966
346	13246	24927
347	13279	24880
348	13320	24847
349	13357	24807
350	13395	24769
351	13432	24727
352	13465	24680
353	13503	24641
354	13538	24598
355	13570	24549
356	13605	24505
357	13640	24461
358	13675	24417
359	13710	24374
360	13745	24329
361	13787	24299
362	13838	24284
363	13878	24249
364	13925	24225
365	13981	24218
366	14025	24190
367	14081	24183
368	14119	24145
369	14154	24101
370	14190	24059
371	14225	24015
372	14262	23974
373	14297	23931
374	14335	23893
375	14375	23856
376	14410	23814
377	14443	23766
378	14477	23721
379	14512	23678
380	14550	23640
381	14593	23609
382	14629	23568
383	14665	23526
384	14699	23481
385	14730	23432
386	14765	23389
387	14799	23342
388	14834	23299
389	14869	23257
390	14903	23213
391	14937	23168
392	14970	23121
393	15002	23075
394	15037	23032
395	15073	22991
396	15108	22947
397	15142	22904
398	15177	22860
399	15213	22820
400	15247	22776
401	15280	22730
402	15315	22687
403	15349	22644
404	15385	22603
405	15419	22559
406	15453	22515
407	15488	22472
408	15524	22433
409	15562	22394
410	15597	22352
411	15647	22332
412	15687	22296
413	15723	22255
414	15754	22208
415	15787	22163
416	15819	22117
417	15852	22071
418	15885	22026
419	15933	22003
420	15970	21964
421	16008	21926
422	16055	21901
423	16116	21893
424	16174	21883
425	16213	21846
426	16250	21806
427	16283	21761
428	16318	21719
429	16359	21685
